#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 153000      8.88e-01      5.35e-03      4.12e-02    4.6e-04
 154000      1.18e+00      6.94e-03      5.45e-02    4.6e-04
 155000      1.83e+00      1.13e-02      8.61e-02    4.5e-04
 156000      1.31e+00      7.73e-04      6.17e-02    4.5e-04
 157000      1.09e+00      5.58e-03      5.10e-02    4.5e-04
 158000      1.27e+00      1.20e-03      5.95e-02    4.5e-04
 159000      1.39e+00      1.48e-02      6.48e-02    4.5e-04
 160000      1.88e+00      4.66e-03      8.95e-02    4.4e-04
 161000      1.16e+00      1.94e-02      5.44e-02    4.4e-04
 162000      1.30e+00      1.50e-03      6.20e-02    4.4e-04
 163000      1.13e+00      7.47e-03      5.38e-02    4.4e-04
 164000      9.64e-01      8.09e-03      4.58e-02    4.4e-04
 165000      9.74e-01      1.02e-02      4.67e-02    4.3e-04
 166000      1.36e+00      3.76e-03      6.57e-02    4.3e-04
 167000      8.77e-01      1.21e-03      4.23e-02    4.3e-04
 168000      8.54e-01      3.15e-03      4.12e-02    4.3e-04
 169000      1.69e+00      3.38e-03      8.17e-02    4.3e-04
 170000      1.08e+00      3.47e-03      5.27e-02    4.2e-04
 171000      1.01e+00      4.30e-03      4.95e-02    4.2e-04
 172000      7.86e-01      2.13e-04      3.84e-02    4.2e-04
 173000      1.27e+00      5.26e-03      6.19e-02    4.2e-04
 174000      1.37e+00      1.45e-02      6.66e-02    4.2e-04
 175000      1.20e+00      7.30e-04      5.93e-02    4.1e-04
 176000      1.21e+00      1.92e-03      5.98e-02    4.1e-04
 177000      9.53e-01      5.03e-03      4.71e-02    4.1e-04
 178000      1.17e+00      7.11e-03      5.78e-02    4.1e-04
 179000      1.23e+00      3.46e-03      6.08e-02    4.1e-04
 180000      1.20e+00      4.45e-03      6.02e-02    4.0e-04
 181000      1.20e+00      4.05e-04      6.03e-02    4.0e-04
 182000      8.69e-01      2.36e-03      4.36e-02    4.0e-04
 183000      1.24e+00      1.66e-04      6.21e-02    4.0e-04
 184000      1.41e+00      1.29e-02      7.04e-02    4.0e-04
 185000      1.54e+00      4.33e-03      7.82e-02    3.9e-04
 186000      9.33e-01      1.06e-03      4.74e-02    3.9e-04
 187000      1.31e+00      4.44e-03      6.64e-02    3.9e-04
 188000      9.70e-01      1.66e-03      4.92e-02    3.9e-04
 189000      1.07e+00      7.21e-03      5.40e-02    3.9e-04
 190000      9.39e-01      6.30e-03      4.82e-02    3.8e-04
 191000      1.08e+00      3.88e-03      5.55e-02    3.8e-04
 192000      1.74e+00      2.26e-03      8.97e-02    3.8e-04
 193000      8.47e-01      1.24e-02      4.31e-02    3.8e-04
 194000      1.22e+00      1.52e-03      6.27e-02    3.8e-04
 195000      8.87e-01      1.02e-03      4.62e-02    3.7e-04
